iter	Passed	Remaining
0	134	134676
1	139	69633
2	144	47938
3	148	37090
4	153	30594
5	158	26269
6	163	23187
7	167	20824
8	172	18992
9	176	17499
10	181	16305
11	186	15323
12	190	14455
13	194	13705
14	199	13071
15	203	12511
16	207	12025
17	213	11625
18	217	11247
19	222	10889
20	226	10573
21	231	10282
22	235	10006
23	240	9762
24	244	9531
25	248	9319
26	253	9140
27	258	8960
28	262	8784
29	267	8648
30	272	8508
31	277	8380
32	281	8254
33	286	8133
34	290	8016
35	295	7901
36	299	7797
37	304	7698
38	308	7599
39	312	7507
40	317	7428
41	321	7340
42	326	7260
43	330	7177
44	335	7113
45	339	7048
46	344	6988
47	348	6916
48	353	6855
49	357	6787
50	362	6738
51	366	6688
52	371	6639
53	376	6595
54	381	6547
55	385	6492
56	389	6445
57	394	6402
58	398	6356
59	403	6317
60	408	6283
61	413	6251
62	417	6211
63	422	6176
64	427	6145
65	431	6108
66	436	6082
67	441	6051
68	446	6023
69	450	5987
70	454	5951
71	459	5918
72	463	5885
73	468	5860
74	472	5828
75	477	5805
76	481	5774
77	485	5741
78	490	5713
79	494	5682
80	498	5656
81	503	5632
82	507	5608
83	511	5577
84	515	5550
85	519	5520
86	523	5496
87	528	5479
88	532	5455
89	537	5435
90	541	5411
91	545	5388
92	549	5363
93	554	5341
94	558	5322
95	563	5302
96	567	5283
97	572	5268
98	577	5253
99	581	5233
100	585	5209
101	589	5191
102	593	5167
103	598	5157
104	603	5141
105	608	5130
106	612	5111
107	616	5095
108	621	5076
109	625	5057
110	629	5044
111	634	5027
112	638	5014
113	643	5002
114	647	4982
115	651	4966
116	656	4951
117	660	4935
118	664	4920
119	668	4905
120	672	4888
121	677	4873
122	681	4859
123	685	4841
124	689	4827
125	693	4811
126	697	4796
127	702	4785
128	706	4769
129	710	4755
130	714	4739
131	718	4724
132	722	4708
133	726	4695
134	730	4682
135	735	4671
136	739	4658
137	743	4644
138	747	4627
139	751	4614
140	754	4598
141	758	4584
142	762	4572
143	767	4563
144	771	4550
145	775	4537
146	779	4524
147	784	4513
148	787	4500
149	791	4487
150	796	4476
151	800	4466
152	804	4455
153	808	4443
154	812	4431
155	816	4418
156	821	4410
157	826	4403
158	831	4395
159	835	4384
160	839	4374
161	843	4365
162	848	4354
163	852	4347
164	857	4339
165	861	4330
166	866	4320
167	870	4309
168	874	4299
169	878	4290
170	882	4279
171	887	4270
172	891	4262
173	896	4254
174	900	4244
175	904	4236
176	908	4225
177	913	4216
178	917	4206
179	921	4199
180	925	4189
181	930	4180
182	934	4171
183	938	4161
184	942	4152
185	946	4143
186	950	4133
187	955	4125
188	959	4117
189	964	4110
190	968	4102
191	972	4092
192	976	4083
193	981	4077
194	985	4068
195	989	4060
196	994	4053
197	998	4044
198	1002	4036
199	1006	4027
200	1010	4018
201	1015	4011
202	1020	4005
203	1024	3997
204	1028	3988
205	1032	3979
206	1036	3972
207	1041	3965
208	1045	3957
209	1050	3950
210	1054	3942
211	1058	3935
212	1063	3927
213	1067	3920
214	1071	3911
215	1075	3903
216	1079	3894
217	1083	3888
218	1088	3881
219	1093	3875
220	1097	3868
221	1101	3859
222	1105	3853
223	1110	3846
224	1114	3838
225	1118	3832
226	1123	3825
227	1127	3819
228	1131	3811
229	1136	3804
230	1140	3795
231	1144	3787
232	1148	3780
233	1152	3773
234	1156	3766
235	1160	3758
236	1165	3750
237	1169	3743
238	1173	3736
239	1177	3729
240	1181	3722
241	1186	3715
242	1190	3709
243	1195	3702
244	1199	3697
245	1204	3691
246	1208	3684
247	1213	3678
248	1218	3673
249	1223	3669
250	1227	3664
251	1232	3658
252	1237	3652
253	1241	3645
254	1246	3640
255	1250	3633
256	1254	3626
257	1259	3622
258	1263	3615
259	1267	3608
260	1271	3601
261	1275	3593
